GOLD Annotated?	Index	Sentence	Entity	Character Offsets	GOLD Flat Grounding	GOLD Flat Grounding Score	GOLD Concept Grounding	GOLD Concept Score	GOLD Process Grounding	GOLD Process Score	GOLD Property Grounding	GOLD Property Score
	1	Fuel price trends in FEWS NET countries will depend on both international market conditions, the evolution of local exchange rates in relation to the U.S. Dollar, and the design and implementation of local fuel import and price policies.	price	Interval(5, 10)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	0.9282232	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/	0.5476427	None	None	wm_compositional/property/price	1.0
	1	Fuel price trends in FEWS NET countries will depend on both international market conditions, the evolution of local exchange rates in relation to the U.S. Dollar, and the design and implementation of local fuel import and price policies.	import	Interval(211, 217)	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	1.0	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/fuel	0.8711413	wm_compositional/process/economic/import	1.0	None	None
	2	Our Ethiopian site is a key asset for the business as it has the potential to be a significant catalyst for future growth.	it has the potential to be a significant catalyst for future growth	Interval(54, 121)	wm/concept/causal_factor/trend	0.75666386	wm_compositional/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.53576285	None	None	None	None
	2	Our Ethiopian site is a key asset for the business as it has the potential to be a significant catalyst for future growth.	is a key asset for the business as it has the potential to be a significant catalyst for future growth	Interval(19, 121)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_assets	0.7813092	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/assets	0.8866558	wm_compositional/process/management/	0.61650836	None	None
	3	Because of recurrent drought , the number of cattle in the area has also been in decline , rendering most pastoralists to be less well of which again further weakening the traditional risk distribution systems .	recurrent drought	Interval(11, 28)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.76120335	wm_compositional/concept/causal_factor/environment/precipitation/drought	1.0000001	wm_compositional/process/environment/climate_change	0.56830245	None	None
	3	Because of recurrent drought , the number of cattle in the area has also been in decline , rendering most pastoralists to be less well of which again further weakening the traditional risk distribution systems .	number of cattle in the area	Interval(35, 63)	wm/concept/causal_factor/agriculture/livestock_production	0.866086	wm_compositional/concept/causal_factor/agriculture/livestock	0.8509895	wm_compositional/process/agriculture/	0.5073671	None	None
	4	While acute food insecurity may require short-term interventions that address immediate causes , interventions tackling root causes may also be important to prevent repeated transitory acute food insecurity , which may lead to chronic food insecurity .	repeated transitory acute food insecurity	Interval(165, 206)	wm/concept/causal_factor/crisis_and_disaster/famine	0.829232	wm_compositional/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm_compositional/process/conflict/	0.5429774	wm_compositional/property/security	1.0
	4	While acute food insecurity may require short-term interventions that address immediate causes , interventions tackling root causes may also be important to prevent repeated transitory acute food insecurity , which may lead to chronic food insecurity .	chronic food insecurity	Interval(227, 250)	wm/concept/causal_factor/food_insecurity/	0.905482	wm_compositional/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm_compositional/process/conflict/	0.5429774	wm_compositional/property/security	1.0
	5	Not surprisingly given the results of Table 5.1, cash transfers have no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley.	cash transfers	Interval(49, 63)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/once_off_cash_transfer_to_facilitate_return	0.8412655	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/currency	0.7673876	wm_compositional/process/economic/transaction	0.5081764	None	None
	5	Not surprisingly given the results of Table 5.1, cash transfers have no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley.	no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley	Interval(69, 174)	wm/concept/causal_factor/agriculture/crop_production	0.83943874	wm_compositional/concept/causal_factor/agriculture/crop	0.78628415	wm_compositional/process/agriculture/harvesting	0.50217617	None	None
	6	USAID encourages cash donations because they allow aid professionals to procure the exact items needed (often in the affected region); reduce the burden on scarce resources (such as transportation routes, staff time, and warehouse space); can be transferred very quickly and without transportation costs; support the economy of the disaster-stricken region; and ensure culturally, dietary, and environmentally appropriate assistance.	they allow aid professionals	Interval(40, 68)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/legal_aid_for_displaced_persons	0.8383889	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide moving of houseHolds	0.68178016	wm_compositional/process/access/	0.5825165	None	None
	6	USAID encourages cash donations because they allow aid professionals to procure the exact items needed (often in the affected region); reduce the burden on scarce resources (such as transportation routes, staff time, and warehouse space); can be transferred very quickly and without transportation costs; support the economy of the disaster-stricken region; and ensure culturally, dietary, and environmentally appropriate assistance.	USAID encourages cash donations because they allow aid professionals	Interval(0, 68)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_for_work	0.8581092	None	None	None	None	None	None
	7	First and foremost , sustaining the reform programs is cited as the main reason for lagging service-delivery quality in the public sector .	sustaining the reform programs	Interval(21, 51)	wm/concept/causal_factor/interventions/institutional_support/prison_system_reform	0.77996534	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/livelihood	0.5143661	wm_compositional/process/management/conservation	0.51272595	None	None
	7	First and foremost , sustaining the reform programs is cited as the main reason for lagging service-delivery quality in the public sector .	lagging service-delivery quality in the public sector	Interval(84, 137)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_health_information_campaign	0.7161007	None	None	None	None	None	None
	8	Nam, an economist-turned-politician, died of complications from testicular cancer on May 18.	complications	Interval(45, 58)	wm/concept/causal_factor/health_and_life/disease/human_disease	0.5857424	wm_compositional/concept/causal_factor/health_and_life/treatment/procedures	0.65902275	wm_compositional/process/agriculture/failure	0.5359487	None	None
	8	Nam, an economist-turned-politician, died of complications from testicular cancer on May 18.	died	Interval(37, 41)	wm/concept/causal_factor/health_and_life/death	0.49334058	wm_compositional/concept/causal_factor/health_and_life/treatment/procedures	0.65902275	wm_compositional/process/agriculture/failure	0.5359487	None	None
	9	Hailu said that because of the additional work included in the project the cost has escalated to 345 million dollars.	of the additional work included in the project	Interval(24, 70)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_work	0.7812337	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/livelihood	0.66497755	wm_compositional/process/	0.5189234	None	None
	9	Hailu said that because of the additional work included in the project the cost has escalated to 345 million dollars.	that because of the additional work included in the project the cost has escalated to 345 million dollars	Interval(11, 116)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_for_work	0.8156353	wm_compositional/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.68206114	wm_compositional/process/migration/migration	0.5460472	None	None
