 	UUID	SUBJ_GROUNDING	SUBJ_GROUNDING_SCORE	SUBJ_TEXT	SUBJ_INTERVENTION	SUBJ_MENTION_INCORRECT	SUBJ_GROUNDING_CORRECT	9	OBJ_GROUNDING	OBJ_GROUNDING_SCORE	OBJ_TEXT	OBJ_INTERVENTION	OBJ_MENTION_INCORRECT	OBJ_GROUNDING_CORRECT	CORRECT_OBJ_GROUNDING	CURATOR	READER	TEXT
31	984f625c-171f-4aa9-a7fc-42f31cb75a45	crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.852	Drought Tolerant Maize for Africa (DTMA) Project	0	N	N	{entity/government_entity, entity/government_program}	interventions/information_services/food_security_or_famine_early_warning_system	0.75	stronger food system in 13 countries in sub-Saharan Africa	1				Mihai	eidos	The Drought Tolerant Maize for Africa ( DTMA ) Project has contributed to a stronger food system in 13 countries in sub-Saharan Africa , through more than 200 improved maize varieties to help farmers cope with climate change and low-fertility soils through collaboration .
43	d405f4e3-701d-4101-954e-846f2960a798	health_and_life/nutrition/food_intake	1	food prices	0	N	N	economic_and_commerce/economic_activity/market/price_or_cost/food_price	health_and_life/basic_needs	0.739	3.8 million Kenyans, a tenth of the population, need emergency aid, Oxfam said	0				Mihai	eidos	Some 3.8 million Kenyans , a tenth of the population , need emergency aid , Oxfam said , partly because food prices have risen to 180 percent above average .
79	51119436-4ac9-4182-94ac-2b0c2f31e4c9	social_and_political/government	0.778	government	0				interventions/provision_of_goods_and_services/public_health_information_campaign	0.843	access to information by regularly threatening, imprisoning, and prosecuting individual activists, bloggers, and journalists and sending a clear public message that the media must self-censor and that dissent or criticism of government policy will not be tolerated	1	N	N		Mihai	eidos	For the past decade , the government has limited access to information by regularly threatening , imprisoning , and prosecuting individual activists , bloggers , and journalists and sending a clear public message that the media must self-censor and that dissent or criticism of government policy will not be tolerated .
112	11edb177-a251-4154-8f92-b41fe7dc57af	interventions/provision_of_goods_and_services/clinical_management_of_sexual_violence	0.726	sexual and reproductive health Ģ	1	N	N		social_and_political/basic_services	0.872	access to health services	0				Mihai	eidos	Contribute to the reduction of maternal , new-born and child mortality and improved sexual and reproductive health * Improve access to health services , particularly maternal , neonatal , child and adolescent health .
129	41a42160-0a51-406e-8aa0-e2886b3a4b8d	food_security/food_utilization	0.85	food production to keep pace with emanda situation	0				health_and_life/nutrition/food_intake	1	food prices	0	N	N		Mihai	eidos	Whereas seven years ago there was relatively little concern or meeting projected food demand through improvements in rop productivity , today there is increasing awareness that " busiess as usual " will not allow food production to keep pace with emand -- a situation that may result in dramatic rises in food prices , overty , and hunger ( FAO , 2003 , 2006 ; Royal Society of London , 009 ; Koning and van Ittersum , 2009 ; Godfray et al ., 2010 ) .
132	bc8151a5-9dfc-42c7-bba3-04fdbcb1c024	social_and_political/government	0.736	government	0				access/market_access	0.713	amount of commodities available	0	N	N		Mihai	eidos	This will be primarily so given limited options to resolve the downward spiraling in local currency and constrained or diminished fiscal space by the government .
152	7851105d-5483-4f24-ac4e-131974b35cb9	interventions/provision_of_goods_and_services/provision_of_livestock_feed	0.728	feed to give	1				health_and_life/basic_needs	0.744	refugees before them, most have started killing their livestock	0					eidos	Like the refugees before them , most have started killing their livestock because there is no feed to give them .
181	65f3d91f-acd2-46dd-bf8e-380b3940a8d1	access/market_access	0.742	poor market information	0				interventions/provision_of_goods_and_services/food_for_assets	0.763	private market's capacity to meet localized food deficits	1					eidos	While there have been a number of positive developments in the agricultural sector , the private market 's capacity to meet localized food deficits is uneven and limited by poor market information and poor access to credit .
184	adfebc65-819d-43ea-ba93-3d76473d09e6	interventions/information_services/food_security_or_famine_early_warning_system	0.821	Friday's statement said poor rains and high global commodity prices had	1				food_security	0.897	food insecurity	0					eidos	Friday 's statement said poor rains and high global commodity prices had triggered food insecurity in the huge Horn of Afric country last year , but lamented that there had been only a `` limited response '' from the international community .
194	68cb1dc1-f589-4bfa-997d-72932a68105d	interventions/construction_of_infrastructure	0.809	inadequate infrastructure (roads, transport, warehousing, telecommunications, and physical market structures)	1				food_security	0.911	One major factor contributing to food insecurity in South Sudan	0					eidos	One major factor contributing to food insecurity in South Sudan is the absence of well-functioning markets in most of the country due to inadequate infrastructure ( roads , transport , warehousing , telecommunications , and physical market structures ) and low levels of marketed surplus .
