Document,DCT,startOffset,endOffset,text,startInterval,endInterval
Doc1,2015-10-01,191,195,2015,2015-01-01T00:00:00,2016-01-01T00:00:00
Doc1,2015-10-01,433,454,Before the separation,,
Doc1,2015-10-01,565,569,2012,2012-01-01T00:00:00,2013-01-01T00:00:00
Doc1,2015-10-01,634,644,Since 2013,2013-01-01T00:00:00,2015-10-01T00:00:00
Doc1,2015-10-01,1056,1060,2011,2011-01-01T00:00:00,2012-01-01T00:00:00
Doc1,2015-10-01,1264,1268,2013,2013-01-01T00:00:00,2014-01-01T00:00:00
Doc1,2015-10-01,1485,1489,2013,2013-01-01T00:00:00,2014-01-01T00:00:00
Doc1,2015-10-01,1556,1560,year,,
Doc1,2015-10-01,1773,1785,rainy season,,
Doc1,2015-10-01,1843,1847,year,,
Doc1,2015-10-01,2055,2059,year,,
Doc1,2015-10-01,2219,2223,year,,
Doc1,2015-10-01,2289,2293,2011,2011-01-01T00:00:00,2012-01-01T00:00:00
Doc1,2015-10-01,2722,2726,year,,
Doc1,2015-10-01,2982,2986,2013,2013-01-01T00:00:00,2014-01-01T00:00:00
Doc1,2015-10-01,3367,3381,recent decades,,
Doc1,2015-10-01,3592,3604,rainy season,,
Doc1,2015-10-01,3617,3621,2012,2012-01-01T00:00:00,2013-01-01T00:00:00
Doc1,2015-10-01,3641,3645,2012,2012-01-01T00:00:00,2013-01-01T00:00:00
Doc1,2015-10-01,4047,4051,2015,2015-01-01T00:00:00,2016-01-01T00:00:00
Doc1,2015-10-01,4086,4090,2014,2014-01-01T00:00:00,2015-01-01T00:00:00
Doc1,2015-10-01,4270,4274,2015,2015-01-01T00:00:00,2016-01-01T00:00:00
Doc1,2015-10-01,627,631,2014,2014-01-01T00:00:00,2015-01-01T00:00:00
Doc1,2015-10-01,349,352,now,2015-10-01T00:00:00,2015-10-02T00:00:00
Doc1,2015-10-01,857,860,now,2015-10-01T00:00:00,2015-10-02T00:00:00
Doc1,2015-10-01,1012,1021,currently,,
Doc1,2015-10-01,2007,2013,annual,,
Doc2,2016-06-29,126,139,coming months,,
Doc2,2016-06-29,247,252,today,2016-06-29T00:00:00,2016-06-30T00:00:00
Doc2,2016-06-29,592,604,until August,2016-06-29T00:00:00,2016-08-01T00:00:00
Doc2,2016-06-29,635,644,this year,2016-01-01T00:00:00,2017-01-01T00:00:00
Doc2,2016-06-29,749,754,today,2016-06-29T00:00:00,2016-06-30T00:00:00
Doc2,2016-06-29,926,938,through July,2016-07-01T00:00:00,2016-08-01T00:00:00
Doc2,2016-06-29,963,968,April,2016-04-01T00:00:00,2016-05-01T00:00:00
Doc2,2016-06-29,1006,1045,since the conflict in South Sudan began,,
Doc2,2016-06-29,1046,1070,two-and-a-half years ago,2013-12-29T00:00:00,2013-12-30T00:00:00
Doc2,2016-06-29,1200,1209,currently,,
Doc2,2016-06-29,1654,1669,last few months,,
Doc2,2016-06-29,1865,1876,end of June,,
Doc2,2016-06-29,2014,2045,Since the beginning of the year,2016-01-01T00:00:00,2016-06-29T00:00:00
Doc2,2016-06-29,2174,2183,last year,2015-01-01T00:00:00,2016-01-01T00:00:00
Doc2,2016-06-29,2162,2173,same period,,
Doc2,2016-06-29,2212,2222,since 2014,2014-01-01T00:00:00,2016-06-29T00:00:00
Doc2,2016-06-29,2441,2444,now,2016-06-29T00:00:00,2016-06-30T00:00:00
Doc2,2016-06-29,2748,2759,lean season,,
Doc2,2016-06-29,2804,2808,2016,2016-01-01T00:00:00,2017-01-01T00:00:00
Doc2,2016-06-29,2910,2919,currently,,
Doc2,2016-06-29,3125,3154,first four months of the year,2016-01-01T00:00:00,2016-05-01T00:00:00
Doc2,2016-06-29,3209,3213,2016,2016-01-01T00:00:00,2017-01-01T00:00:00
Doc2,2016-06-29,3298,3307,this year,2016-01-01T00:00:00,2017-01-01T00:00:00
Doc2,2016-06-29,492,510,annual lean season,,
Doc3,2017-09-11,12,16,July,2017-01-07T00:00:00,2017-01-08T00:00:00
Doc3,2017-09-11,330,342,past 30 days,2017-08-12T00:00:00,2017-09-11T00:00:00
Doc3,2017-09-11,404,414,late start,,
Doc3,2017-09-11,546,560,next two weeks,2017-09-12T00:00:00,2017-09-26T00:00:00
Doc3,2017-09-11,817,823,recent,,
Doc3,2017-09-11,855,865,past month,2017-08-01T00:00:00,2017-09-01T00:00:00
Doc3,2017-09-11,1045,1056,this period,2017-08-01T00:00:00,2017-09-01T00:00:00
Doc3,2017-09-11,1709,1716,ongoing,,
Doc3,2017-09-11,2258,2265,current,,
Doc3,2017-09-11,2422,2429,October,2017-10-01T00:00:00,2017-11-01T00:00:00
Doc3,2017-09-11,2355,2395,until the Deyr-Hageya-short rains season,,
Doc3,2017-09-11,2480,2486,recent,,
Doc3,2017-09-11,2505,2512,to date,,
Doc3,2017-09-11,2570,2579,currently,,
Doc3,2017-09-11,2533,2549,June - September,2017-06-01T00:00:00,2017-10-01T00:00:00
Doc3,2017-09-11,2667,2674,on time,,
Doc3,2017-09-11,2856,2885,since the start of the season,,
Doc3,2017-09-11,3008,3020,coming weeks,,
Doc3,2017-09-11,3220,3225,weeks,,
Doc3,2017-09-11,3213,3219,coming,,
Doc3,2017-09-11,580,588,seasonal,,
Doc3,2017-09-11,418,428,the season,,
Doc3,2017-09-11,2528,2559,the (June - September) seasonal,,
Doc3,2017-09-11,2628,2645,the month of July,2017-07-01T00:00:00,2017-08-01T00:00:00
Doc3,2017-09-11,2838,2846,seasonal,,
Doc3,2017-09-11,3361,3371,seasonally,,
Doc3,2017-09-11,3487,3495,seasonal,,
Doc3,2017-09-11,3726,3736,past month,2017-08-01T00:00:00,2017-09-01T00:00:00
Doc3,2017-09-11,3782,3796,growing season,,
Doc3,2017-09-11,3832,3840,seasonal,,
Doc3,2017-09-11,4134,4138,June,2017-06-01T00:00:00,2017-07-01T00:00:00
Doc3,2017-09-11,4311,4321,past month,2017-08-01T00:00:00,2017-09-01T00:00:00
Doc3,2017-09-11,4409,4434,early in the rainy season,,
Doc3,2017-09-11,4512,4524,coming weeks,,
Doc3,2017-09-11,4711,4716,month,,
Doc3,2017-09-11,4741,4750,currently,,
Doc3,2017-09-11,5002,5016,next 1-2 weeks,,
