Index	Sentence	Entity	Character Offsets	cause/effect	GOLD Flat Grounding	Current Flat Grounding	Flat Correct?	GOLD Concept Grounding	Current Concept Grounding	Concept Correct?	GOLD Process Grounding	Current Process Grounding	Process Correct?	GOLD Property Grounding	Current Property Grounding	Property Correct?	Notes	
1	Fuel price trends in FEWS NET countries will depend on both international market conditions, the evolution of local exchange rates in relation to the U.S. Dollar, and the design and implementation of local fuel import and price policies.	price	(5,10)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	true	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/fuel	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/cost_of_living, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/stockpile, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/household_income, wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	false	wm/process/trend	wm/process/economic/transaction, wm/process/access/availability	false	wm/property/price	wm/property/price	true
1	Fuel price trends in FEWS NET countries will depend on both international market conditions, the evolution of local exchange rates in relation to the U.S. Dollar, and the design and implementation of local fuel import and price policies.	import	(211,217)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	true	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/fuel	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/fuel	true	wm/process/economic/import	wm/process/economic/import	true	None	None	true
2	Our Ethiopian site is a key asset for the business as it has the potential to be a significant catalyst for future growth.	is a key asset for the business as it has the potential to be a significant catalyst for future growth	(19,121)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	wm/concept/causal_factor/interventions/provision_of_goods_and_services/provision_of_credit_and_training_for_income_generation, wm/concept/causal_factor/trend, wm/concept/causal_factor/economic_and_commerce/economic_activity/competition, wm/concept/causal_factor/interventions/provision_of_goods_and_services/household_solid_waste_management, wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_assets	false	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/assets, wm/concept/causal_factor/economic_and_commerce/economic_activity/competition, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/labor_market, wm/concept/causal_factor/social_and_political/basic_services, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/household_income	false	None	wm/process/management/, wm/process/management/management, wm/process/management/, wm/process/management/management, wm/process/economic/depreciation	false	None	None	true
3	Because of recurrent drought , the number of cattle in the area has also been in decline , rendering most pastoralists to be less well of which again further weakening the traditional risk distribution systems .	recurrent drought	(11,28)	cause	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	true	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	true	wm/process/environment/climate_change_process	wm/process/environment/climate_change_process	true	None	None	true
3	Because of recurrent drought , the number of cattle in the area has also been in decline , rendering most pastoralists to be less well of which again further weakening the traditional risk distribution systems .	number of cattle in the area	(35,63)	effect	wm/concept/causal_factor/agriculture/livestock_production	wm/concept/causal_factor/agriculture/livestock_production	true	wm/concept/causal_factor/agriculture/livestock	wm/concept/causal_factor/agriculture/livestock	true	None	wm/process/animal_tending, wm/process/conflict/raiding, wm/process/wild_food_sources/foraging_wild_foods, wm/process/agriculture/	false	wm/property/supply	None	false
4	While acute food insecurity may require short-term interventions that address immediate causes , interventions tackling root causes may also be important to prevent repeated transitory acute food insecurity , which may lead to chronic food insecurity .	repeated transitory acute food insecurity	(165,206)	cause	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/food_insecurity/	wm/concept/causal_factor/crisis_and_disaster/famine	true	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/entity/food	wm/concept/causal_factor/entity/food	true	None	wm/process/food_preparation, wm/process/food_preparation, wm/process/food_preparation, wm/process/wild_food_sources/, wm/process/wild_food_sources/	false	wm/property/insecurity	wm/property/insecurity	true
4	While acute food insecurity may require short-term interventions that address immediate causes , interventions tackling root causes may also be important to prevent repeated transitory acute food insecurity , which may lead to chronic food insecurity .	chronic food insecurity	(227,250)	effect	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/food_insecurity/	wm/concept/causal_factor/food_insecurity/	true	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/entity/food	wm/concept/causal_factor/entity/food	true	None	wm/process/food_preparation, wm/process/food_preparation, wm/process/food_preparation, wm/process/wild_food_sources/, wm/process/wild_food_sources/	false	wm/property/insecurity	wm/property/insecurity	true
5	Not surprisingly given the results of Table 5.1, cash transfers have no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley.	cash transfers	(49,63)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	true	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	true	wm/process/economic/transaction	wm/process/economic/transaction	true	None	None	true
5	Not surprisingly given the results of Table 5.1, cash transfers have no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley.	no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley	(69,174)	effect	wm/concept/causal_factor/economic/economic_activity/market/crop_price	wm/concept/causal_factor/agriculture/crop_production, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/crop_price, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/food_demand, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/food_price, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/supply/food_supply	false	wm/concept/causal_factor/agriculture/crop	wm/concept/causal_factor/agriculture/crop	true	None	wm/process/agriculture/harvesting	false	wm/proprety/price	None	false
6	USAID encourages cash donations because they allow aid professionals to procure the exact items needed (often in the affected region); reduce the burden on scarce resources (such as transportation routes, staff time, and warehouse space); can be transferred very quickly and without transportation costs; support the economy of the disaster-stricken region; and ensure culturally, dietary, and environmentally appropriate assistance.	USAID encourages cash donations because they allow aid professionals	(0,68)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	true	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	None	false	wm/process/economic/transaction	None	false	None	None	true
7	First and foremost , sustaining the reform programs is cited as the main reason for lagging service-delivery quality in the public sector .	sustaining the reform programs	(21,51)	cause	wm/concept/causal_factor/interventions/institutional_support/prison_system_reform, wm/concept/entity/organization, wm/concept/entity/government_entity	wm/concept/causal_factor/interventions/institutional_support/prison_system_reform	true	wm/concept/causal_factor/interventions/institutional_support/prison_system_reform, wm/concept/entity/organization, wm/concept/entity/government_entity	None	false	wm/process/management/conservation, wm/process/management/management	wm/process/agriculture/cultivating	false	None	None	true
8	Nam, an economist-turned-politician, died of complications from testicular cancer on May 18.	complications	(45,58)	cause	wm/concept/causal_factor/health_and_life/disease/symptoms_and_complications	wm/concept/causal_factor/health_and_life/disease/human_disease, wm/concept/causal_factor/health_and_life/treatment/health_treatment, wm/concept/causal_factor/health_and_life/disease/, wm/concept/causal_factor/interventions/provision_of_goods_and_services/therapeutic_feeding, wm/concept/causal_factor/interventions/provision_of_goods_and_services/trauma_and_surgical_care	false	wm/concept/causal_factor/health_and_life/symptoms_and_complications	wm/concept/causal_factor/health_and_life/disease/human_disease, wm/concept/causal_factor/health_and_life/disease/, wm/concept/causal_factor/health_and_life/treatment/health_treatment, wm/concept/causal_factor/health_and_life/death, wm/concept/causal_factor/health_and_life/birth	false	None	wm/process/agriculture/failure	false	None	None	true
