GOLD Annotated?	Index	Sentence	Entity	Character Offsets	Cause/Effect	GOLD Flat Grounding	GOLD Flat Grounding Score	GOLD Concept Grounding	GOLD Concept Score	GOLD Process Grounding	GOLD Process Score	GOLD Property Grounding	GOLD Property Score	Notes	Total annotated:	80
y	1	Fuel price trends in FEWS NET countries will depend on both international market conditions, the evolution of local exchange rates in relation to the U.S. Dollar, and the design and implementation of local fuel import and price policies.	price	(5,10)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	0.9282232	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/fuel	0.5476427	wm/process/trend	None	wm/property/price	1.0	Should the grounding include "fuel" or "fossil_fuels" when the entity only includes price? Maybe a situation where we want to expand the boundaries		
y	1	Fuel price trends in FEWS NET countries will depend on both international market conditions, the evolution of local exchange rates in relation to the U.S. Dollar, and the design and implementation of local fuel import and price policies.	import	(211,217)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	1.0	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/fuel	0.8711413	wm/process/economic/import	1.0	None	None	Should the grounding include "fuel" or "fossil_fuels" when the entity only includes price? Maybe a situation where we want to expand the boundaries		
	2	Our Ethiopian site is a key asset for the business as it has the potential to be a significant catalyst for future growth.	it has the potential to be a significant catalyst for future growth	(54,121)	cause	wm/concept/causal_factor/trend	0.75666386	wm/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.53576285	None	None	None	None	Add "potential" to ontologies?		
y	2	Our Ethiopian site is a key asset for the business as it has the potential to be a significant catalyst for future growth.	is a key asset for the business as it has the potential to be a significant catalyst for future growth	(19,121)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	0.7813092	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	0.8866558	None	0.61650836	None	None			
y	3	Because of recurrent drought , the number of cattle in the area has also been in decline , rendering most pastoralists to be less well of which again further weakening the traditional risk distribution systems .	recurrent drought	(11,28)	cause	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.76120335	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	1.0000001	wm/process/environment/climate_change	0.56830245	None	None	Add "recurrent" to compositional Property node? OR, keep as is and remove Process grounding here		
y	3	Because of recurrent drought , the number of cattle in the area has also been in decline , rendering most pastoralists to be less well of which again further weakening the traditional risk distribution systems .	number of cattle in the area	(35,63)	effect	wm/concept/causal_factor/agriculture/livestock_production	0.866086	wm/concept/causal_factor/agriculture/livestock	0.8509895	None	0.5073671	wm/property/supply	None	Add "number" to exemplars for "supply"?		
y	4	While acute food insecurity may require short-term interventions that address immediate causes , interventions tackling root causes may also be important to prevent repeated transitory acute food insecurity , which may lead to chronic food insecurity .	repeated transitory acute food insecurity	(165,206)	cause	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/food_insecurity/	0.829232	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/entity/food	1.0000001	None	0.5429774	wm/property/insecurity	1.0	Add info like "acute" vs "chronic" to property ontology?		
y	4	While acute food insecurity may require short-term interventions that address immediate causes , interventions tackling root causes may also be important to prevent repeated transitory acute food insecurity , which may lead to chronic food insecurity .	chronic food insecurity	(227,250)	effect	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/food_insecurity/	0.905482	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/entity/food	1.0000001	None	0.5429774	wm/property/insecurity	1.0	Add info like "acute" vs "chronic" to property ontology?		
y	5	Not surprisingly given the results of Table 5.1, cash transfers have no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley.	cash transfers	(49,63)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	0.8412655	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	0.7673876	wm/process/economic/transaction	0.5081764	None	None			
y	5	Not surprisingly given the results of Table 5.1, cash transfers have no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley.	no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley	(69,174)	effect	wm/concept/causal_factor/economic/economic_activity/market/crop_price	0.83943874	wm/concept/causal_factor/agriculture/crop	0.78628415	None	0.50217617	wm/proprety/price	None	Big entity. Should be "prices of the five grains"?		
	6	USAID encourages cash donations because they allow aid professionals to procure the exact items needed (often in the affected region); reduce the burden on scarce resources (such as transportation routes, staff time, and warehouse space); can be transferred very quickly and without transportation costs; support the economy of the disaster-stricken region; and ensure culturally, dietary, and environmentally appropriate assistance.	they allow aid professionals	(40,68)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/legal_aid_for_displaced_persons	0.8383889	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	0.68178016	wm/process/access/	0.5825165	None	None	Weird entity		
y	6	USAID encourages cash donations because they allow aid professionals to procure the exact items needed (often in the affected region); reduce the burden on scarce resources (such as transportation routes, staff time, and warehouse space); can be transferred very quickly and without transportation costs; support the economy of the disaster-stricken region; and ensure culturally, dietary, and environmentally appropriate assistance.	USAID encourages cash donations because they allow aid professionals	(0,68)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	0.8581092	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	None	wm/process/economic/transaction	None	None	None	Weird entity		
y	7	First and foremost , sustaining the reform programs is cited as the main reason for lagging service-delivery quality in the public sector .	sustaining the reform programs	(21,51)	cause	wm/concept/causal_factor/interventions/institutional_support/prison_system_reform, wm/concept/entity/organization, wm/concept/entity/government_entity	0.77996534	wm/concept/causal_factor/interventions/institutional_support/prison_system_reform, wm/concept/entity/organization, wm/concept/entity/government_entity	0.5143661	wm/process/management/conservation, wm/process/management/management	0.51272595	None	None	Need more "reform' than just "prison_system_reform"? Add node for government_program?		
	7	First and foremost , sustaining the reform programs is cited as the main reason for lagging service-delivery quality in the public sector .	lagging service-delivery quality in the public sector	(84,137)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_health_information_campaign	0.7161007	None	None	None	None	None	None			
y	8	Nam, an economist-turned-politician, died of complications from testicular cancer on May 18.	complications	(45,58)	cause	wm/concept/causal_factor/health_and_life/disease/symptoms_and_complications	0.5857424	wm/concept/causal_factor/health_and_life/symptoms_and_complications	0.65902275	None	0.5359487	None	None	New node needed for "symptoms_and_complications"		
y	8	Nam, an economist-turned-politician, died of complications from testicular cancer on May 18.	died	(37,41)	effect	wm/concept/causal_factor/health_and_life/death	0.49334058	wm/concept/causal_factor/health_and_life/death	0.65902275	None	0.5359487	None	None			
	9	Hailu said that because of the additional work included in the project the cost has escalated to 345 million dollars.	of the additional work included in the project	(24,70)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_work	0.7812337	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	0.66497755	wm/process/	0.5189234	None	None	Weird entity		
